max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 500, 100, 2, 6, (1, 10), 0.3, 

Maximum Fitness: 86
Fitness score : Individual 
20 : add(add(7, 41), add(6, k))
21 : add(add(add(-15, 15), -37), add(15, k))
21 : add(add(k, -3), mul(3, 9))
21 : add(add(9, 21), add(k, 2))
17 : add(add(-37, k), add(-18, 15))
40 : add(add(-4, k), add(-15, k))
19 : add(mul(7, k), add(-4, -18))
21 : add(add(k, 5), add(37, -3))
19 : add(add(k, -4), mul(15, 15))
21 : add(add(k, 5), add(6, -37))
22 : add(add(k, 5), add(9, 15))
22 : add(add(-3, k), add(21, 5))
44 : add(add(-18, k), add(17, k))
21 : add(add(k, 9), add(-15, -15))
18 : add(add(-37, k), add(7, -4))
25 : add(add(19, k), mul(-4, 5))
25 : add(add(k, 5), add(-15, 9))
14 : add(add(k, -37), add(-1, -18))
20 : add(add(k, 37), add(27, 5))
9 : add(add(37, k), mul(-3, 37))
20 : add(mul(5, 9), add(11, k))
19 : add(mul(13, 5), add(k, 11))
25 : add(add(41, k), add(-3, -37))
20 : add(add(41, 21), add(9, k))
21 : add(add(-10, k), add(41, 11))
19 : add(add(23, 41), add(41, k))
22 : add(add(39, -4), add(k, -15))
17 : add(add(-15, k), mul(5, 27))
15 : add(add(5, k), mul(21, 37))
39 : add(add(-3, -18), add(k, k))
21 : add(add(9, k), add(9, 21))
25 : add(add(21, -15), add(5, k))
21 : add(add(k, 9), add(9, 9))
15 : add(mul(k, 23), add(-18, 9))
21 : add(add(k, 41), mul(3, -1))
19 : add(add(k, 21), mul(-4, 13))
15 : add(mul(41, 19), mul(add(37, k), -1))
23 : add(add(13, k), add(9, -3))
18 : add(add(5, k), mul(21, 7))
36 : add(add(-37, k), mul(k, 7))
20 : add(add(-15, -18), add(5, k))
15 : add(mul(41, 19), add(add(11, k), 9))
22 : add(add(k, -3), add(17, 9))
21 : add(add(11, -2), add(k, 15))
17 : add(add(41, k), add(29, 41))
19 : add(add(41, k), add(15, 6))
22 : add(add(9, -37), add(9, k))
24 : add(add(21, -37), add(6, k))
21 : add(add(-3, k), mul(7, 4))
13 : add(add(9, k), mul(21, 41))
21 : add(add(5, 41), add(k, -3))
20 : add(add(-37, k), mul(-3, -3))
22 : add(add(k, 41), add(9, -10))
15 : add(add(mul(25, 37), 13), add(9, k))
18 : add(add(9, 2), mul(k, 13))
25 : add(add(k, -10), mul(3, 5))
19 : add(add(k, -3), add(9, -37))
20 : add(add(29, 41), add(mul(0, -18), k))
13 : add(mul(-37, -18), add(21, k))
14 : add(add(11, 19), mul(k, k))
30 : add(add(k, k), mul(13, 41))
19 : add(add(k, -7), add(15, -37))
25 : add(add(-4, 2), add(k, 5))
24 : add(add(13, 17), add(k, -37))
20 : add(add(9, k), add(37, 5))
57 : add(add(5, k), mul(k, 5))
22 : add(add(5, k), add(15, 2))
26 : add(add(33, -37), add(6, k))
19 : add(add(21, 15), add(k, 37))
19 : add(mul(5, 13), add(-3, k))
12 : add(add(-3, k), mul(41, 41))
42 : add(add(5, k), add(4, k))
25 : add(add(9, -4), add(k, -1))
14 : add(mul(k, k), add(0, 9))
21 : add(add(9, 21), add(5, k))
19 : add(add(k, -37), mul(6, 21))
24 : add(add(k, 13), add(-3, -18))
20 : add(mul(9, 6), add(k, -3))
20 : add(add(21, 19), add(5, k))
18 : add(add(-18, k), add(-4, -15))
23 : add(add(-15, -4), add(k, 7))
21 : add(add(-3, -18), add(-3, k))
15 : add(mul(k, 23), add(-18, 9))
57 : add(add(k, 5), mul(5, k))
