max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 1000, 100, 2, 6, (1, 10), 0.3, 

Maximum Fitness: 86
Fitness score : Individual 
0 : mul(add(33, 5), mul(-27, 5))
0 : mul(mul(31, 8), mul(41, 13))
0 : mul(mul(-24, 23), mul(21, 49))
0 : add(add(k, add(27, 21)), mul(add(mul(-3, 33), 41), 45))
0 : mul(add(25, 31), mul(2, 21))
0 : add(add(-27, mul(4, 45)), add(-9, -2))
0 : add(add(27, 41), add(-3, 13))
0 : add(mul(9, -27), add(21, 10))
0 : mul(add(3, 33), add(33, 33))
0 : mul(mul(-27, 19), mul(41, -24))
0 : mul(add(-11, 21), add(21, 13))
0 : add(mul(13, 9), add(41, -2))
0 : mul(add(2, 7), add(-24, 19))
0 : mul(add(5, 29), add(add(19, 41), 2))
15 : add(mul(13, k), mul(7, 49))
0 : mul(mul(7, k), add(-3, 41))
0 : add(mul(4, 7), add(5, 45))
0 : add(mul(-9, 1), mul(25, 5))
0 : add(mul(-9, 21), mul(37, 45))
18 : add(mul(5, k), mul(6, -27))
0 : add(add(2, 3), mul(15, -2))
0 : mul(mul(33, 21), mul(27, 19))
0 : add(add(19, -11), mul(11, -24))
0 : add(add(7, 15), add(41, 19))
0 : add(add(33, 13), mul(9, -27))
0 : mul(add(-4, 45), add(21, 21))
0 : add(mul(-15, 7), add(45, -2))
0 : add(mul(17, add(mul(41, add(33, -9)), -11)), add(41, 15))
0 : mul(add(-27, 3), add(31, 49))
0 : add(mul(4, -15), mul(-9, 19))
0 : mul(add(-27, 45), add(45, 2))
0 : add(add(7, 7), add(mul(-27, -27), -5))
0 : add(add(13, 41), add(7, -11))
0 : mul(mul(7, 33), add(-2, 49))
0 : mul(mul(-27, 49), add(33, -11))
0 : mul(add(7, 7), add(19, 4))
0 : mul(add(-11, 13), mul(5, -11))
0 : add(add(45, 33), mul(41, 45))
0 : mul(mul(-9, 33), add(19, 21))
0 : mul(add(21, -9), add(-11, -24))
0 : mul(add(3, 5), mul(45, add(1, -15)))
0 : mul(mul(23, 41), add(7, -27))
0 : add(add(19, -2), add(7, 1))
0 : add(mul(33, -15), add(3, 9))
0 : add(add(7, 2), mul(-4, 33))
0 : add(add(-2, -4), add(-9, 13))
0 : add(add(33, 5), mul(33, 21))
1 : mul(add(33, mul(-1, k)), mul(-1, -11))
0 : mul(add(21, 11), mul(45, 17))
0 : mul(mul(4, 31), add(41, 25))
0 : add(add(21, 45), add(5, 41))
0 : add(add(11, 7), add(33, 25))
0 : mul(add(-15, 21), add(3, -3))
0 : add(add(21, 45), mul(7, -24))
0 : add(add(k, 45), add(45, k))
0 : add(add(-15, 41), add(7, 41))
0 : add(mul(-24, 4), add(29, -9))
0 : add(mul(45, -15), add(2, 4))
0 : mul(add(27, 25), mul(-9, 45))
0 : mul(add(13, -9), mul(5, 41))
0 : mul(mul(25, 10), mul(25, 5))
0 : mul(mul(-5, -27), mul(7, -4))
0 : mul(add(2, 21), mul(41, 10))
0 : add(mul(21, -27), add(19, -27))
0 : add(add(21, 9), mul(-11, 41))
0 : add(add(13, 25), add(-27, 3))
0 : add(add(25, mul(5, 21)), add(-27, -15))
0 : mul(add(31, -9), mul(45, -11))
0 : mul(add(13, 45), mul(21, 37))
0 : mul(add(5, mul(k, 41)), add(-11, 41))
0 : add(mul(9, -9), add(-27, 21))
0 : add(mul(2, -24), add(-27, 7))
0 : mul(add(5, 41), mul(31, -3))
0 : add(add(41, -4), add(7, 4))
0 : add(mul(41, 9), mul(-2, -27))
0 : add(mul(45, 31), add(21, 27))
0 : mul(mul(k, 9), mul(-27, 10))
1 : add(mul(4, -11), mul(7, 9))
0 : mul(add(k, -27), add(1, 7))
0 : add(mul(-27, 21), add(-1, 0))
0 : mul(add(21, 5), add(41, 13))
0 : add(mul(19, -27), mul(21, 41))
0 : mul(add(41, -3), mul(21, 41))
0 : mul(add(13, -27), mul(17, 13))
0 : mul(mul(33, 25), mul(45, 41))
