max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 1000, 100, 2, 6, (1, 10), 0.1, 

Maximum Fitness: 86
Fitness score : Individual 
1 : mul(add(k, -1), add(k, -19))
21 : add(add(39, k), add(7, -19))
1 : add(add(0, 5), add(-19, 21))
1 : add(add(1, 4), add(41, 7))
26 : add(mul(-1, 5), add(7, k))
19 : add(add(-19, k), add(-19, 7))
1 : add(add(0, 13), mul(-19, 0))
18 : add(mul(k, 19), add(39, 4))
24 : add(mul(1, 1), add(k, 13))
15 : add(mul(13, k), mul(43, 29))
25 : add(add(k, 7), add(5, -1))
21 : add(add(21, 1), add(k, 21))
19 : add(add(41, 39), add(25, k))
22 : add(add(k, 13), add(11, -1))
19 : add(add(k, 39), add(31, 19))
16 : add(add(-11, k), mul(39, 21))
21 : add(add(19, 13), add(5, k))
14 : add(mul(41, k), add(41, -12))
21 : add(add(k, 19), add(39, -19))
21 : add(add(-8, -8), add(k, 41))
20 : add(mul(21, 1), add(39, k))
24 : add(add(5, 13), add(k, -1))
17 : add(add(13, k), mul(4, 27))
24 : add(add(23, 13), add(-19, k))
16 : add(add(k, -12), mul(31, 7))
21 : add(add(13, k), add(41, -11))
15 : add(mul(21, 21), add(1, k))
17 : add(add(-19, -8), add(k, -12))
24 : add(mul(4, -1), add(1, k))
24 : add(add(11, -8), add(-12, k))
20 : add(add(-12, 27), add(k, 41))
20 : add(add(31, k), add(-12, 31))
17 : add(mul(19, 21), add(19, k))
2 : add(mul(add(17, add(mul(k, 11), add(-1, 11))), k), add(13, add(13, 41)))
15 : add(mul(13, 19), add(k, 41))
19 : add(add(7, -19), add(k, -19))
20 : add(add(19, 39), add(k, 41))
20 : add(add(41, k), add(13, 1))
21 : add(add(39, 3), mul(k, 5))
21 : add(add(5, -19), add(-12, k))
24 : add(add(4, 13), add(k, -8))
19 : add(add(21, 39), add(k, 21))
24 : add(mul(-1, -12), add(k, 1))
8 : add(add(41, k), mul(10, -12))
24 : add(add(7, k), add(0, 7))
39 : add(add(k, 39), mul(k, 1))
20 : add(add(k, 39), add(13, -1))
19 : add(add(5, k), add(39, 5))
20 : add(add(k, 41), add(0, 3))
19 : add(add(k, 41), add(add(17, add(-1, 19)), add(mul(5, 0), -1)))
24 : add(add(4, 13), add(-1, k))
16 : add(mul(13, 13), add(add(k, add(39, 19)), add(add(11, 0), -1)))
19 : add(mul(13, 5), add(15, k))
20 : add(add(k, 7), add(41, -1))
13 : add(mul(41, 21), add(k, -1))
19 : add(add(21, 13), add(k, 43))
19 : add(add(5, k), add(41, 39))
