max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 1000, 100, 2, 6, (1, 10), 0.5, 

Maximum Fitness: 86
Fitness score : Individual 
0 : add(mul(-9, 13), add(13, 18))
0 : mul(add(3, -6), mul(19, 23))
0 : mul(mul(19, k), mul(41, -4))
0 : mul(add(29, 35), add(12, 17))
0 : mul(mul(-1, 21), mul(k, 0))
0 : mul(add(3, 13), mul(67, k))
0 : mul(add(3, k), add(53, 4))
0 : add(add(k, k), add(k, k))
0 : add(mul(3, 7), mul(13, 21))
0 : add(mul(23, 1), mul(19, -21))
0 : mul(add(19, -9), mul(23, 67))
0 : mul(add(15, k), add(21, k))
0 : mul(mul(k, 41), mul(17, 7))
0 : mul(add(7, 0), add(-8, 19))
0 : mul(add(k, 15), add(7, 7))
0 : mul(mul(4, 5), add(k, -9))
0 : add(mul(5, 12), mul(11, 12))
0 : mul(add(-4, 0), mul(21, 13))
0 : mul(mul(k, -1), mul(19, 19))
0 : add(mul(35, -23), add(21, k))
0 : mul(add(7, 53), mul(k, 9))
0 : mul(mul(27, -6), mul(37, 0))
20 : add(add(21, 7), add(17, k))
0 : mul(add(41, 25), add(19, k))
0 : mul(add(13, 1), mul(k, k))
0 : add(mul(17, 21), mul(k, 21))
0 : mul(mul(-1, 11), add(23, 7))
0 : mul(add(13, 13), add(25, -10))
12 : add(mul(k, 41), add(11, -1))
0 : add(add(-21, 3), add(21, 23))
0 : add(add(19, 41), mul(19, 35))
0 : mul(add(21, -23), add(-4, 7))
0 : mul(mul(k, -6), add(k, -23))
0 : mul(mul(k, -21), mul(13, 13))
0 : add(add(33, -21), add(53, -21))
0 : mul(mul(k, 23), mul(-13, 53))
1 : add(add(21, 11), mul(3, mul(11, 67)))
0 : mul(add(19, 13), add(-10, 19))
1 : add(mul(7, 3), mul(2, -8))
0 : mul(mul(add(37, 27), -9), mul(-9, 21))
0 : add(mul(13, k), mul(13, 19))
0 : mul(add(k, 13), mul(-5, k))
0 : mul(mul(41, 6), mul(13, 41))
0 : mul(add(17, 18), add(0, 13))
0 : mul(mul(7, 7), mul(4, k))
0 : mul(add(17, 41), mul(k, -21))
0 : add(add(67, 21), add(-21, 21))
0 : add(mul(19, 19), mul(4, 21))
0 : mul(add(-9, 13), add(-9, 0))
0 : mul(add(53, k), add(21, 7))
0 : add(add(3, k), mul(53, -9))
0 : add(mul(-6, 53), mul(k, mul(13, 53)))
0 : add(add(53, 7), mul(0, k))
0 : mul(mul(19, 23), mul(11, add(13, 7)))
0 : mul(mul(1, 17), mul(19, -9))
0 : mul(add(17, 13), add(k, -2))
17 : add(mul(19, k), add(27, 41))
0 : add(add(7, 15), mul(53, 19))
0 : mul(mul(41, -5), mul(23, -23))
0 : mul(mul(7, 7), mul(k, 13))
0 : mul(mul(k, 67), add(k, k))
0 : add(mul(13, 23), mul(13, 21))
0 : mul(add(7, -1), mul(k, -27))
1 : add(mul(-13, k), add(add(k, 7), 19))
0 : mul(mul(21, 7), add(k, 21))
0 : mul(add(13, -23), add(k, 19))
0 : mul(mul(-4, -23), add(13, 15))
0 : mul(add(23, 35), add(18, 67))
0 : add(add(41, -6), mul(0, 18))
0 : mul(add(add(21, 6), 21), add(7, 23))
0 : add(add(67, 41), add(23, 41))
0 : mul(mul(7, -8), mul(k, 7))
0 : add(add(-21, 3), mul(-3, k))
0 : add(mul(21, 23), add(23, 29))
0 : mul(mul(33, -10), add(41, 53))
0 : mul(add(3, 35), add(k, 2))
0 : mul(mul(13, 21), mul(15, k))
0 : mul(add(15, 27), mul(3, 21))
0 : mul(add(67, 15), mul(21, add(19, 7)))
0 : add(mul(21, 15), mul(33, 17))
0 : mul(mul(19, 2), add(33, -21))
0 : mul(mul(12, -23), add(-9, k))
0 : add(add(7, 3), mul(13, 17))
0 : mul(mul(21, k), mul(k, 23))
0 : mul(add(7, 9), add(67, 5))
0 : mul(add(37, 13), mul(15, 13))
0 : mul(add(-9, 13), mul(-21, 41))
0 : add(add(21, -37), add(21, 13))
1 : add(add(41, 35), mul(13, 7))
0 : mul(mul(27, 19), add(51, 12))
0 : mul(mul(18, 27), mul(-23, 7))
0 : add(mul(19, 13), add(-9, 7))
0 : mul(add(45, -13), add(27, k))
0 : add(add(-27, 25), add(15, 5))
0 : mul(mul(3, 21), mul(21, k))
0 : add(add(-21, 3), mul(47, 15))
0 : mul(mul(13, -10), mul(7, k))
24 : mul(add(6, k), add(-4, 5))
0 : mul(mul(k, -21), mul(7, 17))
0 : add(add(6, 17), mul(19, 41))
1 : add(add(67, 27), add(0, 15))
0 : add(add(5, 18), add(6, 67))
32 : add(mul(21, k), add(37, k))
0 : mul(mul(-9, 13), mul(0, 23))
0 : mul(mul(add(13, 11), 21), add(k, 19))
0 : mul(mul(0, k), add(7, 7))
0 : mul(add(11, k), mul(3, -10))
0 : add(mul(-23, 8), add(67, 19))
0 : mul(mul(k, k), mul(27, 13))
0 : add(mul(37, 7), add(21, 6))
0 : add(add(67, 13), add(67, 53))
0 : mul(mul(13, 15), mul(-1, 7))
0 : add(mul(3, 25), mul(47, 11))
0 : mul(add(4, 19), add(k, 29))
0 : mul(mul(13, 21), mul(13, -2))
0 : add(mul(-21, 67), add(17, k))
0 : add(add(33, 3), mul(13, 13))
0 : mul(add(13, 7), add(-10, 17))
0 : mul(add(31, 41), mul(k, 21))
0 : add(mul(k, -23), mul(7, k))
